market_key,snapshot_date,bedrooms,listings,avg_price,avg_sqm,avg_price_per_sqm
narvik_no,2025-08-27,1,5,,44,
narvik_no,2025-08-27,2,4,24000,76.5,342.86
narvik_no,2025-08-27,3,2,,148,
narvik_no,2025-08-27,4,4,6000,108,56.07
narvik_no,2025-08-27,5,3,6000,130.33,44.12
narvik_no,2025-08-27,8,1,,20,
tromso_no,2025-08-27,1,34,15200,37.76,777.78
tromso_no,2025-08-27,2,24,23166.67,60.38,290.87
tromso_no,2025-08-27,3,8,18000,87,201.6
tromso_no,2025-08-27,4,3,15000,51,115.38
tromso_no,2025-08-27,5,2,15000,80.5,100.0
tromso_no,2025-08-27,6,2,,131.5,
tromso_no,2025-08-27,15,1,,30,
